Year,Mo,Dy,tave,tmax,tmin,vp,rhmax,rhmin,pp,gust
2000,4,21,12.933,22.983,2.883,0.72,0.809,0.159,0.0,8.075
2000,4,22,14.573,22.000999999999998,7.146,0.9359999999999999,0.937,0.192,0.0,10.192
2000,4,23,12.286,17.88,6.693,0.925,0.951,0.344,0.0,9.604
2000,4,24,9.079,15.751,2.407,0.66,0.975,0.17,0.0,14.171
2000,4,25,9.605,17.874000000000002,1.3359999999999999,0.589,0.7759999999999999,0.21,0.0,8.487
2000,4,26,14.605,25.791,3.42,0.713,0.763,0.09699999999999999,0.0,11.975999999999999
2000,4,27,11.769,18.31,5.228,0.785,0.862,0.27699999999999997,0.0,6.1739999999999995
2000,4,28,11.758,20.349,3.167,0.728,0.727,0.32799999999999996,0.0,7.252000000000001
2000,4,29,15.243,23.252,7.235,1.037,0.885,0.313,0.0,13.289000000000001
2000,4,30,7.8,12.929,2.6710000000000003,0.595,0.7809999999999999,0.345,0.0,9.192
2000,5,1,11.0,21.343000000000004,0.657,0.6970000000000001,0.852,0.21100000000000002,0.0,5.704
2000,5,2,13.602,23.337,3.867,0.877,0.9059999999999999,0.221,0.0,7.7620000000000005
2000,5,3,16.145,26.601999999999997,5.689,0.9279999999999999,0.8640000000000001,0.14800000000000002,0.0,7.428
2000,5,4,19.487000000000002,31.133000000000003,7.841,1.048,0.836,0.09,0.0,9.839
2000,5,5,19.972,31.42,8.524,0.96,0.746,0.077,0.0,8.095
2000,5,6,18.097,25.273000000000003,10.921,0.998,0.711,0.252,0.0,7.624
2000,5,7,19.61,26.517,12.702,1.197,0.8540000000000001,0.195,0.0,13.583
2000,5,8,9.766,14.257,5.276,0.852,0.982,0.42700000000000005,0.0,8.448
2000,5,9,12.147,20.090999999999998,4.203,0.8959999999999999,1.0190000000000001,0.247,0.0,8.075
2000,5,10,16.133,23.276999999999997,8.988,1.044,0.78,0.36,0.0,11.74
2000,5,11,10.668,15.715,5.62,0.789,0.919,0.31,0.0,12.368
2000,5,12,7.597,13.11,2.085,0.41,0.647,0.14,0.0,13.895999999999999
2000,5,13,8.538,18.073,-0.998,0.527,0.818,0.131,0.0,8.663
2000,5,14,12.972999999999999,20.18,5.766,0.5589999999999999,0.54,0.21,0.0,7.311
2000,5,15,16.8,27.662,5.938,0.807,0.768,0.076,0.0,6.546
2000,5,16,17.906,27.863000000000003,7.949,1.105,0.831,0.24600000000000002,0.0,7.801
2000,5,17,11.584000000000001,16.963,6.205,1.028,0.94,0.5660000000000001,0.0,18.796
2000,5,18,9.872,13.513,6.23,0.67,0.785,0.317,0.0,8.526
2000,5,19,11.931,20.396,3.466,0.878,0.9640000000000001,0.294,0.0,8.859
2000,5,20,14.100999999999999,19.005,9.197000000000001,0.97,0.857,0.349,0.0,8.702
2000,5,21,15.728,25.572,5.882999999999999,1.035,0.97,0.188,0.0,7.468
2000,5,22,20.590999999999998,30.135,11.048,1.071,0.726,0.158,0.0,8.761000000000001
2000,5,23,22.208000000000002,32.352,12.064,1.249,0.772,0.161,0.0,9.878
2000,5,24,17.352,22.328000000000003,12.376,1.202,0.868,0.345,0.0,7.0360000000000005
2000,5,25,17.477999999999998,24.000999999999998,10.955,1.347,0.9390000000000001,0.41,0.0,6.35
2000,5,26,17.062,23.435,10.69,1.171,0.945,0.259,0.0,9.134
2000,5,27,16.441,25.416,7.466,1.093,0.981,0.188,0.0,7.644
2000,5,28,20.958000000000002,32.501999999999995,9.413,1.208,0.81,0.165,0.0,14.484000000000002
2000,5,29,26.628,35.336999999999996,17.92,1.0490000000000002,0.53,0.07200000000000001,0.0,9.31
2000,5,30,17.75,22.581999999999997,12.917,1.28,0.88,0.379,0.0,9.094
2000,5,31,18.171,24.535999999999998,11.805,1.264,1.0190000000000001,0.193,0.0,8.859
2000,6,1,14.552,19.883,9.221,0.6940000000000001,0.662,0.177,0.0,10.035
2000,6,2,16.401,25.338,7.4639999999999995,1.0490000000000002,0.794,0.332,0.0,7.605
2000,6,3,21.218000000000004,32.819,9.616,1.305,0.956,0.08,0.0,11.074000000000002
2000,6,4,18.237000000000002,22.546,13.927999999999999,1.119,0.711,0.358,0.0,7.291
2000,6,5,16.840999999999998,24.787,8.895,1.1440000000000001,0.86,0.33399999999999996,0.0,5.782
2000,6,6,21.805,32.573,11.036,1.389,0.9440000000000001,0.12,0.0,10.133
2000,6,7,22.54,34.986999999999995,10.092,1.148,0.773,0.067,0.0,7.388999999999999
2000,6,8,23.693,34.253,13.133,1.121,0.643,0.122,0.0,10.975999999999999
2000,6,9,21.314,29.214000000000002,13.415,1.123,0.763,0.12300000000000001,0.0,10.8
2000,6,10,18.555999999999997,26.794,10.319,0.9570000000000001,0.703,0.19399999999999998,0.0,8.898
2000,6,11,21.268,29.511,13.026,1.087,0.7240000000000001,0.136,0.0,7.624
2000,6,12,20.401,30.774,10.027999999999999,1.1520000000000001,0.875,0.086,0.0,7.468
2000,6,13,18.434,26.293000000000003,10.575,0.972,0.772,0.146,0.0,13.25
2000,6,14,16.71,25.980999999999998,7.44,1.1,0.91,0.247,0.0,6.978
2000,6,15,21.892,31.005,12.779000000000002,1.158,0.742,0.14,0.0,13.602
2000,6,16,10.972999999999999,13.283,8.662,0.9890000000000001,0.978,0.531,0.0,6.37
2000,6,17,11.364,17.247,5.481,0.995,0.997,0.483,0.0,7.1739999999999995
2000,6,18,16.326,26.195,6.457999999999999,1.176,0.993,0.27399999999999997,0.0,11.27
2000,6,19,19.687,25.594,13.78,1.28,0.8420000000000001,0.275,0.0,10.642999999999999
2000,6,20,17.894000000000002,26.449,9.338,1.013,0.873,0.11599999999999999,0.0,10.564
